LOC,Bookmaker,License,Regulator,Date Founded,Apps,Min. Deposit,Margin
UK,10bet,43173,UK Gambling Commission,2003,"Android, iOS",£10,"8,88%"
UK,Copybet,53774,UK Gambling Commission,2016,"Android, iOS",£10,"7,83%"
UK,Mr Play,000-039483-R-319409-001,UK Gambling Commission,2017,No,£10,"7,27%"
UK,LiveScore Bet,56859,UK Gambling Commission,2020,"Android, iOS",£10,"7,05%"
UK,Virgin Bet,54310,UK Gambling Commission,2019,"Android, iOS",£10,"4,76%"
IE,LiveScore Bet,1017720,The Revenue  Commissioners,2020,"Android, iOS",€10,"10,69%"
UK,Bet365,130,Gibraltar Gaming Commissioner,2000,"Android, iOS",£5,"7,74%"
IE,Bet365,1015541,The Revenue  Commissioners,2000,"Android, iOS",€5,"5,75%"
NG,Bet365,32-11/GNN8262392G/SGR,Dirección General de Ordenación del Juego,2000,"Android, iOS",5€,6%
SE,Bet365,18Li7597,Spelinspektionen,2000,"Android, iOS",50 SEK,"10,67%"
DK,Bet365,Yes,Spillemyndigheden,2000,"Android, iOS",50 KR,"3,35%"